descrizione;likes;retweets;data
EMERGENZA COVID - Stop alle gite scolastiche,mascherine anche in casa #ANSA https://t.co/JTcPEBvP8k;24;9;2020-10-13 05:50
#Giro Positivi al #Covid due ciclisti e sei persone di staff @giroditalia #ANSA https://t.co/JsSEKQqSUc ;14;15;2020-10-13 08:50
Quali sono i test per trovare il #Covid-19 VIDEO #ANSA https://t.co/3a54bOG9Kr;5;2;2020-10-13 09:48
#Covid-19 Johnson &amp Johnson sospende la sperimentazione per il #vaccino #ANSA https://t.co/cFGLFPf4Go;21;20;2020-10-13 10:00
#Covid-19 Il nuovo #dpcm: divieto di feste private e stretta sulla movida VIDEO #ANSA ttp://ow.ly/mW5130reHhm;20;5;2020-10-13 10:10
Quali sono i test per trovare il #Covid-19. Ne esistono di due tipi e sono realizzabili in pochi minuti - VIDEO #ANSA #coronavirus https://t.co/vqEm0B26Zp;4;4;2020-10-13 10:32
Ecco il nuovo #Dpcm, divieto di feste private e stretta sulla #movida. #Conte e #Speranza raggiungono l'accordo con le Regioni - VIDEO #coronavirus #ANSA https://t.co/CSoSYwEuZH;9;5;2020-10-13 10:36
#Tamponi rapidi dai pediatri, Biasci (Fimp): 'Servono chiarimenti, famiglie confuse'. 'Gli studi dei pediatri non sono attrezzati come un pronto soccorso' - VIDEO #coronavirus #ANSA https://t.co/0LzWHgW7Yi;5;7;2020-10-13 10:39
#Milan, #Bonera positivo al #coronavirus. E' collaboratore tecnico di #Pioli, negativi tutti i tamponi effettuati al gruppo squadra #calcio #ANSA https://t.co/ZQ0jVlgrK9;8;3;2020-10-13 11:39
#Coronavirus, focolaio a #Mortara, 56 suore positive #ANSA https://t.co/SZhaM7fD52;33;31;2020-10-13 11:54
#Covid e lavoro, le precisazioni dell' #Inps. Ecco i casi nei quali verrà riconosciuta la malattia - VIDEOGRAFICA #ANSA https://t.co/Abas2Stcu2;7;8;2020-10-13 12:01
#Coronavirus, in #Russia record di morti e infezioni. In #Belgio contagi +79% in una settimana. #Olanda va verso la chiusura totale dei ristoranti. Allarme ricoveri nelle terapie intensive a #Parigi. #Macron studia una nuova stretta #ANSA https://t.co/S4CE2mnaKg;37;26;2020-10-13 13:12
"#Coronavirus, Johnson &amp; Johnson sospende la sperimentazione per il #vaccino. E' accaduto dopo che uno dei partecipanti si e' ammalato. La multinazionale farmaceutica: 'Nel volontario malattia con cause da definire' #ANSA https://t.co/tKRnllGMLY";16;22;2020-10-13 13:40
#Coronavirus, sindaco #Khan, a #Londra nuova stretta inevitabile. 'Tutti gli indicatori lo suggeriscono' #ANSA @SadiqKhan https://t.co/QonlZmortp;10;8;2020-10-13 14:04
#Cr7 positivo al #coronavirus. E' in isolamento e asintomatico. Lo annuncia la federcalcio portoghese a poche ore dalla partita con la #Svezia #calcio @Cristiano #ANSA https://t.co/vHbloYAQja;41;19;2020-10-13 14:35
Professor  Cambieri del Gemelli di Roma: 'Ondata significativa, dal primo agosto mai segno meno'  #Coronavirus #Covid  VIDEO #ANSA  https://t.co/vt8LwTFUUe;18;11;2020-10-13 15:19
#CR7 positivo al #coronavirus. Il fuoriclasse bianconero in isolamento a #Lisbona - VIDEOGRAFICA @Cristiano  #ANSA https://t.co/DZw3odHw7U;9;10;2020-10-13 16:41
RT @AnsaValledAosta:Covid:altri 33 nuovi casi positivi in Valle d'Aosta. Ora sono 258 salgono a 11 i ricoverati (3 in terapia intensiva)…;0;9;2020-10-13 16:55
"RT @AnsaVeneto: &gt;ANSA-IL-PUNTO/COVID: Veneto,+485 casi, ma ospedali reggono. Zaia, didattica a distanza scuole aiuterebbe trasporto pubblic…";0;8;2020-10-13 16:57
RT @Ansa_Fvg:Covid: Fvg riaperta terapia intensiva a Trieste. All'ospedale Cattinara. Riccardi a Udine utilizzati tutti posti #ANSA http…;0;18;2020-10-13 16:57
RT @Ansa_ER:Covid: in E-R 341 casi e due morti crescono i ricoveri. Sono sei in più di ieri i pazienti in terapia intensiva #ANSA https:/…;0;11;2020-10-13 16:59
RT @AnsaMarche: Covid nelle Marche 82 positivi nelle ultime 24ore.16 sintomatici 39 contatti in casa o stretti https://t.co/3taH8qoUXh;0;9;2020-10-13 17:00
RT @AnsaAbruzzo: Covid: 146 casi in Abruzzo è secondo dato più alto di sempre https://t.co/JeW4R1hH0f;0;14;2020-10-13 17:04
RT @AnsaCalabria:Covid: in Calabria un posto occupato sui 60 di rianimazione. In un mese raddoppiati casi attivi ma ricoverati calati di 2…;0;8;2020-10-13 17:11
RT @AnsaPuglia: Covid: 180 positivi in Puglia due decessi. 92 casi in provincia di Bari #ANSA https://t.co/RT4Ob7h9L3;0;10;2020-10-13 17:12
RT @AnsaSicilia:Covid: in Sicilia 334 nuovi positivi oltre 8 mila i tamponi. Due morti e due ricoveri in più in terapia intensiva| #ANSA…;0;12;2020-10-13 17:12
RT @AnsaSardegna: Covid: Sardegna pressione cresce ma sistema ospedali regge. In Aula assessore Sanità riferirà su numero posti attivati #…;0;9;2020-10-13 17:13
RT @ANSA_Motori: Coronavirus, l'allarme del servizio pubblico: 'Trasporti a rischio con riempimento sotto l'80%' #ANSAmotori https://t.co/1…;0;6;2020-10-13 17:36
"RT @Ansa_Piemonte: &gt;ANSA-IL-PUNTO/COVID, a Città Salute pronti nuovi reparti. ""Situazione sotto controllo"". Piemonte, +8 terapie intensive…";0;9;2020-10-13 17:43
Primo caso in Nazionale: #ElShaarawy è positivo. Medico degli azzurri: 'Ma la carica è virale bassa, potrebbe anche essere un falso positivo'  #Covid #ANSA https://t.co/BCn6EfGc3P https://t.co/BUrXpkHUbB;25;6;2020-10-13 18:00
Azzurri: #ElShaarawy negativo al tampone di controllo. dopo l'esito positivo di quello a cui si è sottoposto ieri sera nel ritiro della Nazionale a Bergamo  #Covid #ANSA https://t.co/SMqHEHolNE;18;3;2020-10-13 18:51
