descrizione,likes,retweets,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, la #Lombardia verso misure restrittive. Nella bozza della nuova ordinanza coprifuoco dalle 23 alle 5 e autocertificazione 
#ANSA
https://t.co/tTAS6t99F6",10,7,2020-10-21,10:09:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid, Gabriele #Salvatores in isolamento, non sarà alla Festa di Roma - #Cinema 
#ANSA
https://t.co/U3GA8FyCQa",24,7,2020-10-21,09:52:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid: Guerra (#Oms), ok a prototipo del #vaccino entro l'anno
#ANSA
https://t.co/DuokoNEkFG",18,3,2020-10-21,09:39:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Il #Veneto registra un boom di casi #Covid, +1.422 in un giorno
#Coronavirus
#ANSA
https://t.co/3J7igQAzeI",20,10,2020-10-21,09:04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Russia 317 morti per Covid in 24 ore, mai così tanti
#ANSA
https://t.co/QvAMJDhyfL",18,8,2020-10-21,08:42:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus il governo lavora a protocollo linee guida chiusure Regioni  
#ANSA
https://t.co/cneX5tPghE",10,8,2020-10-21,08:28:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, Trump loda la sua risposta: 'Guardate i nostri numeri rispetto a quelli dell'Europa'  
#Usa2020
#ANSA
https://t.co/P2eZoIAeVV",24,7,2020-10-21,07:45:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, l'appello di @robersperanza: 'Evitate gli spostamenti inutili'
#ANSA
 https://t.co/4N293748Pi",49,19,2020-10-21,07:30:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effetto #Covid, Cathay Pacific taglia un quarto dei posti di lavoro
#ANSA
https://t.co/CUfF8Mx0e9",10,7,2020-10-21,07:01:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Il presidente #Mattarella consegna le onorificenze Omri agli 'eroi' nell’emergenza #Covid. #ANSA #21ottobre
https://t.co/hcbJsl9TH8",17,4,2020-10-21,06:20:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L'era #Covid spegne il #sorriso, boom di problemi dentali
#Dentisti SIdP, aumentano i casi di frattura, bruxismo, parodontite, carie. #ANSA #21ottobre #Covid_19
https://t.co/JkpCzfN0Wg",28,17,2020-10-21,05:55:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Controlli da parte dei #Nas dei #Carabinieri  nelle #palestre e piscine di tutta #Italia. L'attività ispettiva è ovviamente diretta a verificare l'attuazione dei protocolli anti #covid negli impianti sportivi. #ANSA #21ottobre #Covid_19
https://t.co/dA637PV0tu",36,11,2020-10-21,05:40:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Il ministro della salute @robersperanza : 'La situazione è molto seria, serve uno sforzo. Il lockdwn non è deciso, evitate spostamenti inutili' #ANSA @MinisteroSalute #covid #coronavirus
https://t.co/1NLs8vU4by",72,49,2020-10-20,20:11:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid: #Francia, 20.468 #contagi, impennata di vittime.   262 decessi, fra ospedali e ultimi 4 giorni in case di cura. #ANSA #Covid_19
https://t.co/RBBmjCdhud",46,23,2020-10-20,19:30:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#covid #Coprifuoco e #strade chiuse, la stretta delle #Regioni. In #Campania #Arzano #zonarossa. A #Roma,#Bari #Firenze #Bologna e #Torino off limits vie e piazze. #Dad in #Liguria al 50% dalla 2/a superiore #ANSA
https://t.co/StCat2SK0q",32,21,2020-10-20,18:45:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regno Unito, Boris #Johnson imporrà restrizioni più severe alla città di #Manchester, sfidando i leader locali che si sono opposti aspramente alla mossa. #ANSA #20ottobre #Covid_19 
https://t.co/2Ri6WLgFAD",17,13,2020-10-20,18:05:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Trump attacca la moderatrice e le modifiche del duello tv.  
'Kristen Welker è terribile e faziosa, legata ai democratici'
#ANSA #Covid #20ottobre @realDonaldTrump #Covid_19
https://t.co/f4i5Nzvtz6",17,7,2020-10-20,18:02:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#covid Dieci positivi nella Nazionale di #nuoto, anche Simona Quadarella  #ANSA
https://t.co/vLfc48ri8K",41,16,2020-10-20,17:39:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Usa, Melania #Trump cancella quella che doveva essere la sua prima apparizione, dopo oltre un anno, in un comizio del marito in #Pennsylvania perché non ha recuperato pienamente le condizioni nella convalescenza dal #Covid. #ANSA #20ottobre
@FLOTUS
https://t.co/i7fFVIkCG4",14,6,2020-10-20,17:31:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Scuola, #Fontana: 'al via la #sperimentazione con i #test rapidi. #Tamponi antigenici con risultato in 15 minuti'. #ANSA #20ottobre 
@RegLombardia @FontanaPres  #Covid_19 https://t.co/pFnVWSd50m https://t.co/dmTVHuW09B",9,5,2020-10-20,16:58:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Lombardia:,sono,2023,i,nuovi,casi,i,con,21726,#tamponi,effettuati,,per,una,percentuale,pari,al,9,3%,,in,calo,rispetto,a,ieri,(11,5%).,I,#decessi,sono,19,,per,un,totale,di,17103,morti,dall'inizio,della,#pandemia.,#ANSA,#20ottobre,@RegLombardia,https://t.co/NZHFCzOnJ9,11,13,2020-10-20,16:43:37
"RT @AnsaScienza: La #pandemia rallenta anche le indagini statistiche. 
A fare il punto su @AnsaScienza  gli esperti in occasione del 
#Worl…",0,4,2020-10-20,16:43:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L'era #Covid spegne il sorriso, boom di problemi dentali
#ANSA
https://t.co/lUCJMnBCSV",12,17,2020-10-20,16:17:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Regione #Piemonte introduce  l'obbligo, per le classi della #scuola secondaria di secondo grado, di seguire per  il 50% dei giorni la #didattica digitale a distanza, in alternanza con la presenza in aula. #ANSA #20ottobre #Covid_19 @regionepiemonte
https://t.co/iczPBKnJBh",36,27,2020-10-20,16:04:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Italia risalgono a 10.874 i contagi in un giorno. I morti sono 89 . 
I tamponi effettuati sono stati 144mila #Coronavirus #Covid_19
#ANSA
https://t.co/e8VSvuTFRT",35,24,2020-10-20,15:22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @AnsaScienza: #Covid_19 , perché la curva epidemica è esponenziale
Su @AnsaScienza l 'analisi di @GiorgioSestili fondatore e fra i curat…",0,6,2020-10-20,15:08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'intelligenza,artificiale,,contro,#covid,dell'Istituto,italiano,di,tecnologia,e,strumenti,di,diagnosi,precoce,di,VoiceWise,:,al,convegno,sull'Intelligenza,artificiale,di,#ANSA,@HuaweiItalia,@TalentGardenit,@Volopress,@OpenFiberIT,#Bosch,#osservatorioia,https://t.co/5x3ukb7TMS,11,4,2020-10-20,15:05:48,,,,,,,,,,,,,,,
